date,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds
22.05. 17:00,Brøndby IF,Silkeborg IF,2,1,2.30,2.40,4.33
22.05. 17:00,FC København,AaB,3,0,1.83,2.60,6.50
22.05. 17:00,FC Midtjylland,Randers FC,3,2,2.20,2.60,4.33
21.05. 17:00,AGF,FC Nordsjælland,2,2,3.25,2.37,2.87
21.05. 17:00,SønderjyskE,Viborg FF,0,2,4.00,2.20,2.62
21.05. 17:00,Vejle Boldklub,OB,2,1,3.25,2.25,3.00
16.05. 19:00,Silkeborg IF,FC Midtjylland,1,4,2.87,2.40,3.20
15.05. 20:00,Viborg FF,AGF,1,0,2.20,2.25,5.50
15.05. 18:00,AaB,Brøndby IF,1,3,2.87,2.20,3.75
15.05. 16:00,Randers FC,FC København,0,2,3.60,2.30,2.75
15.05. 14:00,FC Nordsjælland,Vejle Boldklub,2,1,2.50,2.37,4.00
15.05. 14:00,OB,SønderjyskE,1,1,2.10,2.40,5.50
12.05. 20:00,FC Midtjylland,Brøndby IF,2,2,2.10,2.37,5.50
12.05. 18:00,OB,Viborg FF,1,1,3.00,2.20,3.50
12.05. 18:00,Vejle Boldklub,AGF,1,0,3.20,2.05,3.60
11.05. 20:00,FC København,Silkeborg IF,2,1,2.50,2.25,4.00
11.05. 18:00,SønderjyskE,FC Nordsjælland,1,1,3.40,2.30,2.87
11.05. 18:00,Randers FC,AaB,2,2,2.87,2.30,3.40
09.05. 19:00,Viborg FF,Vejle Boldklub,2,2,2.40,2.20,4.75
08.05. 20:00,AGF,SønderjyskE,1,1,2.75,2.10,4.33
08.05. 18:00,AaB,FC Midtjylland,1,2,3.50,2.25,2.87
08.05. 16:00,Brøndby IF,FC København,1,1,4.33,2.20,2.50
08.05. 14:00,FC Nordsjælland,OB,1,1,2.75,2.37,3.50
06.05. 19:00,Silkeborg IF,Randers FC,1,0,2.10,2.50,4.75
02.05. 19:00,Silkeborg IF,AaB,4,2,2.40,2.37,4.00
01.05. 18:00,FC Midtjylland,FC København,0,0,3.25,2.05,3.50
01.05. 16:00,Randers FC,Brøndby IF,2,1,2.50,2.30,4.00
01.05. 14:00,OB,AGF,1,0,2.75,2.20,4.00
01.05. 14:00,Vejle Boldklub,SønderjyskE,0,3,2.60,2.20,4.50
29.04. 19:00,Viborg FF,FC Nordsjælland,1,1,2.20,2.40,4.75
25.04. 19:00,Brøndby IF,FC Midtjylland,1,3,3.60,2.10,3.00
24.04. 18:00,AGF,OB,1,2,3.40,2.20,3.10
24.04. 16:00,FC København,Randers FC,0,1,2.00,2.50,6.00
24.04. 14:00,FC Nordsjælland,Viborg FF,2,0,3.10,2.25,3.10
24.04. 14:00,AaB,Silkeborg IF,1,2,3.20,2.25,3.10
22.04. 19:00,SønderjyskE,Vejle Boldklub,0,1,3.25,2.05,3.60
19.04. 19:00,Randers FC,Silkeborg IF,1,2,3.20,2.30,3.00
18.04. 18:00,FC Midtjylland,AaB,2,0,2.30,2.30,4.75
18.04. 16:00,FC København,Brøndby IF,2,0,2.20,2.20,5.50
18.04. 14:00,SønderjyskE,AGF,2,1,3.20,2.10,3.40
18.04. 14:00,Vejle Boldklub,FC Nordsjælland,0,0,3.20,2.10,3.25
17.04. 18:00,Viborg FF,OB,1,1,2.75,2.10,4.00
15.04. 18:00,FC Nordsjælland,SønderjyskE,2,0,2.62,2.30,3.75
14.04. 18:00,Brøndby IF,AaB,0,1,3.25,2.10,3.25
14.04. 16:00,Silkeborg IF,FC København,3,1,3.25,2.25,3.00
14.04. 14:00,AGF,Viborg FF,0,2,4.00,2.05,2.87
14.04. 14:00,OB,Vejle Boldklub,2,1,2.20,2.30,5.50
13.04. 18:30,Randers FC,FC Midtjylland,1,3,3.60,2.25,2.75
11.04. 19:00,Vejle Boldklub,Viborg FF,2,2,3.75,2.10,2.87
10.04. 18:00,FC København,FC Midtjylland,1,0,2.75,2.05,4.33
10.04. 16:00,Silkeborg IF,Brøndby IF,3,0,2.62,2.20,4.00
10.04. 14:00,FC Nordsjælland,AGF,2,2,2.75,2.20,3.75
10.04. 14:00,SønderjyskE,OB,2,2,3.40,2.10,3.20
08.04. 18:30,AaB,Randers FC,3,0,2.60,2.20,4.33
04.04. 19:00,FC Midtjylland,Silkeborg IF,3,2,2.50,2.30,4.33
03.04. 18:00,AaB,FC København,0,1,4.00,2.20,2.75
03.04. 16:00,Brøndby IF,Randers FC,0,1,3.00,2.05,4.00
03.04. 14:00,AGF,Vejle Boldklub,0,0,3.00,2.00,4.00
03.04. 14:00,OB,FC Nordsjælland,2,1,2.75,2.25,3.60
01.04. 19:00,Viborg FF,SønderjyskE,2,1,2.50,2.10,5.00
20.03. 14:30,AaB,Brøndby IF,3,0,3.40,2.05,3.25
20.03. 14:30,AGF,Viborg FF,1,1,3.25,2.05,3.40
20.03. 14:30,FC København,FC Nordsjælland,1,0,1.83,2.60,6.50
20.03. 14:30,Silkeborg IF,FC Midtjylland,0,1,3.25,2.25,3.10
20.03. 14:30,SønderjyskE,Randers FC,1,1,3.60,2.20,2.87
20.03. 14:30,Vejle Boldklub,OB,2,0,4.33,2.25,2.50
14.03. 19:00,OB,AaB,2,3,3.10,2.20,3.40
13.03. 18:00,FC Midtjylland,FC København,0,1,3.00,2.10,3.75
13.03. 16:00,Brøndby IF,AGF,1,1,2.87,2.00,4.50
13.03. 14:00,Randers FC,Silkeborg IF,2,1,3.50,2.30,2.87
13.03. 14:00,Viborg FF,Vejle Boldklub,2,0,2.20,2.25,5.50
11.03. 19:00,FC Nordsjælland,SønderjyskE,1,1,2.50,2.20,4.33
07.03. 19:00,AGF,FC Nordsjælland,2,3,2.75,2.20,4.00
06.03. 18:00,Silkeborg IF,Brøndby IF,0,1,2.50,2.20,4.50
06.03. 16:00,AaB,Vejle Boldklub,0,0,2.20,2.25,5.50
06.03. 14:00,SønderjyskE,OB,2,2,3.60,2.20,2.87
04.03. 20:00,FC København,Randers FC,3,0,2.30,2.30,4.75
04.03. 18:00,FC Midtjylland,Viborg FF,3,1,2.40,2.20,4.50
28.02. 19:00,Brøndby IF,SønderjyskE,1,0,2.25,2.25,5.50
27.02. 18:00,OB,FC Midtjylland,2,2,3.60,2.20,2.87
27.02. 16:00,Viborg FF,FC København,0,2,3.50,2.20,3.10
27.02. 14:00,AaB,Silkeborg IF,1,4,3.20,2.25,3.10
27.02. 14:00,FC Nordsjælland,Randers FC,0,0,3.10,2.25,3.10
25.02. 19:00,Vejle Boldklub,AGF,3,2,4.50,2.20,2.50
21.02. 19:00,Randers FC,Viborg FF,0,1,2.50,2.30,4.00
20.02. 18:00,FC København,OB,2,0,2.05,2.40,6.00
20.02. 16:00,FC Nordsjælland,Brøndby IF,0,2,3.40,2.10,3.20
20.02. 14:00,FC Midtjylland,AaB,0,2,2.30,2.20,5.50
20.02. 14:00,Silkeborg IF,Vejle Boldklub,3,0,1.83,2.60,7.00
18.02. 19:00,SønderjyskE,AGF,2,3,4.00,2.00,3.00
29.11. 19:00,Vejle Boldklub,FC Midtjylland,1,1,6.00,2.30,2.05
28.11. 18:00,AaB,FC København,1,3,3.40,2.10,3.25
28.11. 16:00,Brøndby IF,Randers FC,1,0,2.75,2.20,4.00
28.11. 14:00,OB,FC Nordsjælland,2,0,2.50,2.40,3.75
28.11. 14:00,Viborg FF,SønderjyskE,1,1,2.25,2.37,4.75
26.11. 19:00,AGF,Silkeborg IF,1,1,3.40,2.10,3.25
22.11. 19:00,SønderjyskE,AaB,1,3,3.75,2.10,3.00
21.11. 18:00,FC Midtjylland,Brøndby IF,1,2,2.40,2.25,4.50
21.11. 16:00,FC København,AGF,1,1,2.50,2.10,4.75
21.11. 14:00,FC Nordsjælland,Silkeborg IF,1,1,3.25,2.40,2.75
21.11. 14:00,Randers FC,Vejle Boldklub,4,1,2.05,2.37,6.00
19.11. 19:00,OB,Viborg FF,2,3,2.60,2.37,3.60
07.11. 20:00,Silkeborg IF,FC København,0,0,3.40,2.30,2.87
07.11. 18:00,Brøndby IF,OB,2,1,2.75,2.25,3.60
07.11. 16:00,AGF,FC Midtjylland,3,0,3.75,2.20,2.87
07.11. 14:00,AaB,Randers FC,1,1,3.00,2.20,3.50
07.11. 14:00,Vejle Boldklub,SønderjyskE,3,1,3.10,2.10,3.40
05.11. 19:00,Viborg FF,FC Nordsjælland,2,2,2.37,2.40,4.00
01.11. 19:00,OB,AGF,0,0,3.00,2.10,3.50
31.10. 20:00,SønderjyskE,Silkeborg IF,0,6,3.50,2.25,2.87
31.10. 18:00,Viborg FF,Brøndby IF,0,1,3.20,2.25,3.10
31.10. 16:00,FC København,Vejle Boldklub,3,0,1.80,2.50,7.50
31.10. 14:00,FC Nordsjælland,AaB,0,2,3.20,2.40,2.87
31.10. 14:00,Randers FC,FC Midtjylland,1,3,3.50,2.20,3.00
25.10. 19:00,AaB,Viborg FF,2,5,2.40,2.37,4.33
24.10. 18:00,FC Midtjylland,SønderjyskE,3,2,1.90,2.40,6.50
24.10. 16:00,Randers FC,AGF,1,0,3.10,2.05,3.60
24.10. 14:00,Brøndby IF,FC København,2,1,3.60,2.20,2.87
24.10. 14:00,Silkeborg IF,OB,1,1,2.75,2.37,3.40
22.10. 19:00,Vejle Boldklub,FC Nordsjælland,2,0,3.20,2.40,2.87
18.10. 19:00,AGF,AaB,1,0,3.20,2.10,3.40
17.10. 18:00,SønderjyskE,FC København,1,1,5.50,2.40,2.05
17.10. 16:00,Brøndby IF,Vejle Boldklub,3,2,2.05,2.40,5.50
17.10. 14:00,OB,Randers FC,1,2,3.00,2.20,3.40
17.10. 13:00,FC Nordsjælland,FC Midtjylland,2,2,4.75,2.40,2.20
15.10. 19:00,Viborg FF,Silkeborg IF,1,1,2.75,2.37,3.50
03.10. 20:00,FC København,Viborg FF,1,1,1.90,2.62,6.00
03.10. 18:00,Randers FC,Brøndby IF,1,1,2.87,2.25,3.40
03.10. 16:00,FC Midtjylland,AGF,4,0,2.50,2.20,4.75
03.10. 14:00,AaB,SønderjyskE,4,0,2.20,2.25,5.50
03.10. 14:00,Silkeborg IF,FC Nordsjælland,4,1,2.25,2.60,4.00
01.10. 19:00,OB,Vejle Boldklub,6,0,2.20,2.30,5.00
27.09. 19:00,AGF,SønderjyskE,1,0,2.30,2.30,4.75
26.09. 20:00,Vejle Boldklub,Silkeborg IF,2,4,3.50,2.25,2.87
26.09. 18:00,Brøndby IF,AaB,2,1,2.87,2.25,3.50
26.09. 16:00,FC Nordsjælland,FC København,1,5,4.50,2.40,2.25
26.09. 14:00,FC Midtjylland,Randers FC,1,0,2.20,2.30,5.50
26.09. 14:00,Viborg FF,OB,1,1,2.62,2.40,3.50
20.09. 19:00,Silkeborg IF,AGF,0,2,3.00,2.30,3.25
19.09. 18:00,FC København,FC Midtjylland,0,1,2.60,2.20,4.33
19.09. 16:00,SønderjyskE,Brøndby IF,1,0,4.00,2.25,2.60
19.09. 14:00,Randers FC,FC Nordsjælland,3,2,2.87,2.30,3.40
19.09. 14:00,Vejle Boldklub,Viborg FF,1,1,4.33,2.37,2.30
17.09. 19:00,AaB,OB,2,0,2.50,2.30,4.00
13.09. 19:00,OB,SønderjyskE,2,1,2.25,2.40,4.50
12.09. 18:00,AGF,Vejle Boldklub,1,0,2.20,2.25,5.50
12.09. 16:00,Randers FC,FC København,0,2,4.33,2.30,2.37
12.09. 14:00,Viborg FF,AaB,2,3,2.75,2.30,3.50
10.09. 20:00,Brøndby IF,Silkeborg IF,1,1,2.50,2.37,4.00
